"","rules","support","confidence","coverage","lift","count"
"350","{만족감=불만족,기억.집중.가능.여부=가능,기부경험=없음} => {자기개발.가능여부=가능}",0.139774318425171,0.979226774379688,0.142739477802487,1.0280568645903,5091
"351","{만족감=불만족,자기개발.가능여부=가능,기부경험=없음} => {기억.집중.가능.여부=가능}",0.139774318425171,0.82820888238165,0.168766987892266,0.984203984436764,5091
"352","{만족감=불만족,기억.집중.가능.여부=가능,자기개발.가능여부=가능} => {기부경험=없음}",0.139774318425171,0.845400199269346,0.165335090464816,1.07225725033908,5091
"361","{계층의식=중산층,소득.만족도=보통,혼인상태=미혼} => {자기개발.가능여부=가능}",0.100513411855146,0.994566693833198,0.101062515443538,1.0441617239641,3661
"383","{만족감=만족,기억.집중.가능.여부=가능,교육정도=4년제} => {자기개발.가능여부=가능}",0.114735194794498,0.996185935637664,0.115174477665212,1.04586171082727,4179
"384","{만족감=만족,자기개발.가능여부=가능,교육정도=4년제} => {기억.집중.가능.여부=가능}",0.114735194794498,0.93489932885906,0.122724652005601,1.11098982887548,4179
"385","{기억.집중.가능.여부=가능,생활수준.변화=그대로,교육정도=4년제} => {자기개발.가능여부=가능}",0.102023446723224,0.996781115879828,0.10235290887626,1.04648657030787,3716
"386","{자기개발.가능여부=가능,생활수준.변화=그대로,교육정도=4년제} => {기억.집중.가능.여부=가능}",0.102023446723224,0.934842767295597,0.1091343381929,1.11092261380775,3716
"387","{기억.집중.가능.여부=가능,소득.만족도=보통,교육정도=4년제} => {자기개발.가능여부=가능}",0.116245229662576,0.996000940955069,0.116711967712709,1.04566749120591,4234
"388","{자기개발.가능여부=가능,소득.만족도=보통,교육정도=4년제} => {기억.집중.가능.여부=가능}",0.116245229662576,0.934451555947914,0.124399417950196,1.11045771687735,4234
"391","{인간관계=만족,기부경험=없음,교육정도=4년제} => {자기개발.가능여부=가능}",0.1036707574884,0.992378449408673,0.104466957691569,1.04186436061488,3776
"405","{기부경험=없음,계층의식=빈곤층,교육정도=고등학교} => {자기개발.가능여부=가능}",0.110864014496335,0.956418758882046,0.115915767509541,1.00411150534,4038
"406","{자기개발.가능여부=가능,계층의식=빈곤층,교육정도=고등학교} => {기부경험=없음}",0.110864014496335,0.866151866151866,0.127996046454164,1.09857747748196,4038
"407","{기억.집중.가능.여부=가능,계층의식=빈곤층,교육정도=고등학교} => {자기개발.가능여부=가능}",0.108310682810312,0.986990242682012,0.109738352140131,1.03620746574833,3945
"408","{자기개발.가능여부=가능,계층의식=빈곤층,교육정도=고등학교} => {기억.집중.가능.여부=가능}",0.108310682810312,0.846203346203346,0.127996046454164,1.00558774808367,3945
"452","{만족감=만족,생활수준.변화=좋아짐,인간관계=만족} => {자기개발.가능여부=가능}",0.10776157922192,0.98125,0.10982071767839,1.03018098031303,3925
"453","{만족감=만족,생활수준.변화=좋아짐,계층의식=중산층} => {자기개발.가능여부=가능}",0.103451116053043,0.983298538622129,0.105208247535898,1.0323316712949,3768
