측정소명,오존농도(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
남산,0.032,11,10
노원구,0.023,12,8
도봉구,0.026,10,9
도산대로,0.023,22,15
동대문구,0.015,15,9
동작구,0.027,18,12
동작대로,0.022,19,11
마포구,0.017,15,10
마포아트센터,0.03,19,12
북한산,0.029,9,9
서대문구,0.027,15,14
서울숲,0.023,19,12
서초구,0.025,17,13
성동구,0.015,16,8
성북구,0.025,17,8
세곡,0.024,20,16
송파구,0.022,16,9
시흥대로,0.022,16,13
신촌로,0.018,19,12
양천구,0.023,17,11
영등포구,0.023,15,11
영등포로,0.02,16,12
올림픽공원,0.027,18,16
용산구,0.015,15,11
은평구,0.023,17,18
자연사박물관,0.032,15,13
정릉로,0.019,16,8
종로,0.023,14,9
종로구,0.027,12,9
중구,0.028,11,8
중랑구,0.025,14,8
천호대로,0.019,18,10
청계천로,0.027,17,10
한강대로,0.016,19,10
항동,0.025,17,12
행주,0.027,15,8
홍릉로,0.02,15,10
화랑로,0.021,12,8
강남구,0.03,64,35
강남대로,0.022,80,48
강동구,0.022,72,39
강변북로,0.019,75,43
강북구,0.039,71,39
강서구,0.028,67,37
공항대로,0.023,66,39
관악구,0.027,69,38
관악산,0.062,63,33
광진구,0.031,64,38
구로구,0.029,72,45
금천구,0.029,66,39
남산,0.047,68,38
노원구,0.029,74,47
도봉구,0.032,64,40
도산대로,0.026,81,45
동대문구,0.023,71,40
동작구,0.031,74,42
동작대로,0.024,77,38
마포구,0.029,62,36
마포아트센터,0.04,73,39
북한산,0.048,60,36
서대문구,0.042,62,37
서울숲,0.027,75,40
서초구,0.03,78,43
성동구,0.021,68,32
성북구,0.027,72,36
세곡,0.029,84,54
송파구,0.026,69,36
시흥대로,0.022,79,41
신촌로,0.027,67,37
양천구,0.027,75,40
영등포구,0.028,67,42
영등포로,0.024,69,40
올림픽공원,0.028,68,47
용산구,0.021,65,38
은평구,0.039,62,38
자연사박물관,0.053,63,35
정릉로,0.021,73,39
종로,0.027,69,36
종로구,0.033,65,36
중구,0.035,57,35
중랑구,0.037,65,35
천호대로,0.02,76,41
청계천로,0.031,70,40
한강대로,0.019,87,34
항동,0.026,73,44
행주,0.028,64,39
홍릉로,0.022,70,38
화랑로,0.024,60,36
강남구,0.027,61,32
강남대로,0.013,81,43
강동구,0.022,66,34
강변북로,0.015,75,42
강북구,0.037,71,39
강서구,0.024,76,37
공항대로,0.013,73,39
관악구,0.023,69,36
관악산,0.065,67,35
광진구,0.028,62,36
구로구,0.023,75,42
금천구,0.02,68,39
남산,0.054,70,35
노원구,0.028,71,42
도봉구,0.031,65,37
도산대로,0.022,83,43
동대문구,0.029,72,38
동작구,0.024,75,39
동작대로,0.016,72,36
마포구,0.024,66,36
마포아트센터,0.032,76,40
북한산,0.054,53,31
서대문구,0.038,65,39
서울숲,0.048,87,38
서초구,0.022,73,41
성동구,0.018,66,30
성북구,0.026,76,37
세곡,0.017,80,44
송파구,0.022,64,32
시흥대로,0.015,80,40
신촌로,0.019,69,39
양천구,0.022,77,39
영등포구,0.022,69,40
영등포로,0.018,68,38
올림픽공원,0.047,79,45
용산구,0.022,67,36
은평구,0.036,73,42
자연사박물관,0.043,67,36
정릉로,0.018,67,40
종로,0.025,75,37
종로구,0.03,68,39
중구,0.033,58,35
중랑구,0.032,65,34
천호대로,0.018,66,33
청계천로,0.026,71,40
한강대로,0.02,82,33
항동,0.022,72,42
행주,0.032,76,42
홍릉로,0.021,71,37
화랑로,0.022,59,34
강남구,0.022,68,41
강남대로,0.016,77,41
강동구,0.018,75,46
강변북로,0.012,82,52
강북구,0.032,74,46
강서구,0.025,72,41
공항대로,0.02,68,38
관악구,0.026,59,36
관악산,0.063,41,22
광진구,0.023,66,44
구로구,0.022,72,46
금천구,0.024,56,34
남산,0.033,67,42
노원구,0.024,71,50
도봉구,0.028,63,43
도산대로,0.02,80,33
동대문구,0.025,70,44
동작구,0.027,64,38
동작대로,0.019,68,36
마포구,0.022,60,39
마포아트센터,0.027,70,45
북한산,0.038,62,44
서대문구,0.028,64,42
서울숲,0.005,70,63
서초구,0.023,71,47
성동구,0.016,72,36
성북구,0.022,76,39
세곡,0.02,74,46
송파구,0.019,69,36
시흥대로,0.021,73,39
신촌로,0.016,70,43
양천구,0.024,74,44
영등포구,0.02,71,48
영등포로,0.018,68,44
올림픽공원,0.014,81,61
용산구,0.017,69,46
은평구,0.04,65,43
자연사박물관,0.033,64,42
정릉로,0.015,68,44
종로,0.02,71,41
종로구,0.024,53,45
중구,0.024,58,41
중랑구,0.026,69,41
천호대로,0.014,78,46
청계천로,0.021,72,46
한강대로,0.014,81,37
항동,0.024,67,45
행주,0.027,65,37
홍릉로,0.019,69,42
화랑로,0.018,60,38
강남구,0.024,69,39
강남대로,0.016,88,51
강동구,0.02,79,47
강변북로,0.018,83,49
강북구,0.033,72,43
강서구,0.027,69,37
공항대로,0.019,68,36
관악구,0.03,66,37
관악산,0.053,60,34
광진구,0.024,68,43
구로구,0.023,71,43
금천구,0.024,71,44
남산,0.04,66,40
노원구,0.026,71,47
도봉구,0.029,64,41
도산대로,0.024,79,
동대문구,0.029,76,41
동작구,0.031,71,41
동작대로,0.022,71,36
마포구,0.037,55,33
마포아트센터,0.038,70,39
북한산,0.038,58,37
서대문구,0.035,63,40
서울숲,0.025,43,42
서초구,0.031,66,43
성동구,0.02,70,34
성북구,0.025,75,38
세곡,0.022,86,55
송파구,0.02,72,37
시흥대로,0.02,76,41
신촌로,0.022,63,39
양천구,0.025,73,40
영등포구,0.026,63,38
영등포로,0.025,61,39
올림픽공원,0.028,76,53
용산구,0.026,61,35
은평구,0.036,60,39
자연사박물관,0.045,64,39
정릉로,0.017,70,43
종로,0.026,67,36
종로구,0.033,63,39
중구,0.036,52,34
중랑구,0.03,69,39
천호대로,0.017,82,49
청계천로,0.029,65,39
한강대로,0.022,73,31
항동,0.023,68,43
행주,0.034,62,32
홍릉로,0.022,68,42
화랑로,0.021,60,37
강남구,0.02,45,21
강남대로,0.014,62,26
강동구,0.017,55,26
강변북로,0.011,75,38
강북구,0.023,51,25
강서구,0.022,50,21
공항대로,0.017,48,22
관악구,0.026,46,21
관악산,0.051,51,23
광진구,0.021,50,25
구로구,0.02,52,24
금천구,0.023,44,22
남산,0.028,49,22
노원구,0.02,52,28
도봉구,0.023,70,33
도산대로,0.021,73,
동대문구,0.023,44,24
동작구,0.027,47,22
동작대로,0.019,50,22
마포구,0.025,43,20
마포아트센터,0.027,52,24
북한산,0.031,45,24
서대문구,0.04,66,30
서울숲,0.021,27,21
서초구,0.025,46,21
성동구,0.016,49,19
성북구,0.019,58,25
세곡,0.022,57,27
송파구,0.02,50,21
시흥대로,0.019,52,23
신촌로,0.015,47,24
양천구,0.021,51,24
영등포구,0.022,45,23
영등포로,0.019,44,23
올림픽공원,0.027,54,29
용산구,0.019,49,24
은평구,0.022,52,28
자연사박물관,0.027,49,24
정릉로,0.013,52,27
종로,0.017,54,24
종로구,0.022,50,25
중구,0.023,42,23
중랑구,0.021,52,24
천호대로,0.015,60,26
청계천로,0.019,50,27
한강대로,0.015,57,21
항동,0.021,48,27
행주,0.023,47,20
홍릉로,0.017,55,26
화랑로,0.016,49,27
강남구,0.011,37,15
강남대로,0.009,49,18
강동구,0.009,39,15
강변북로,0.006,38,18
강북구,0.021,45,19
강서구,0.017,43,17
공항대로,0.012,44,19
관악구,0.017,37,17
관악산,0.036,35,15
광진구,0.011,36,16
구로구,0.014,44,18
금천구,0.013,36,18
남산,0.019,39,17
노원구,0.016,45,21
도봉구,0.019,39,19
도산대로,0.011,42,19
동대문구,0.014,39,18
동작구,0.016,41,19
동작대로,0.011,43,19
마포구,0.021,36,16
마포아트센터,0.018,43,18
북한산,0.026,38,18
서대문구,0.014,42,13
서울숲,0.011,21,15
서초구,0.016,42,17
성동구,0.009,38,13
성북구,0.015,44,16
세곡,0.011,49,22
송파구,0.012,37,14
시흥대로,0.013,45,18
신촌로,0.01,40,17
양천구,0.015,43,20
영등포구,0.014,39,19
영등포로,0.013,38,18
올림픽공원,0.015,37,19
용산구,0.011,40,19
은평구,0.018,40,20
자연사박물관,0.021,42,18
정릉로,0.01,41,20
종로,0.012,42,17
종로구,0.016,39,19
중구,0.016,35,19
중랑구,0.016,38,16
천호대로,0.008,42,16
청계천로,0.013,41,21
한강대로,0.011,50,17
항동,0.015,38,21
행주,0.019,39,17
홍릉로,0.011,39,18
화랑로,0.01,36,17
강남구,0.035,37,8
강남대로,0.032,53,8
강동구,0.031,41,7
강변북로,0.03,50,11
강북구,0.039,50,9
강서구,0.035,41,6
공항대로,0.033,39,9
관악구,0.036,39,8
관악산,0.042,46,7
광진구,0.038,41,8
구로구,0.029,43,5
금천구,0.037,37,7
남산,0.04,44,8
노원구,0.037,47,10
도봉구,0.037,44,8
도산대로,0.035,49,9
동대문구,0.038,41,8
동작구,0.037,44,9
동작대로,0.033,42,10
마포구,0.042,38,7
마포아트센터,0.041,46,8
북한산,0.037,40,9
서대문구,0.033,43,10
서울숲,0.036,11,4
서초구,0.037,42,6
성동구,0.026,40,7
성북구,0.035,48,8
세곡,0.037,53,9
송파구,0.036,43,8
시흥대로,0.033,39,9
신촌로,0.029,41,9
양천구,0.032,43,9
영등포구,0.033,38,8
영등포로,0.03,34,9
올림픽공원,0.046,42,9
용산구,0.031,46,10
은평구,0.035,42,11
자연사박물관,0.044,43,8
정릉로,0.03,41,10
종로,0.033,43,9
종로구,0.036,42,10
중구,0.037,35,9
중랑구,0.036,41,8
천호대로,0.031,43,8
청계천로,0.036,38,10
한강대로,0.026,45,9
항동,0.038,33,10
행주,0.041,39,6
홍릉로,0.034,40,9
화랑로,0.033,39,9
강남구,0.036,83,15
강남대로,0.03,128,18
강동구,0.032,88,15
강변북로,0.03,110,18
강북구,0.039,106,17
강서구,0.036,97,13
공항대로,0.028,93,15
관악구,0.037,93,14
관악산,0.04,102,12
광진구,0.04,86,15
구로구,0.029,120,16
금천구,0.037,95,15
남산,0.04,102,15
노원구,0.038,106,19
도봉구,0.038,105,15
도산대로,0.035,127,19
동대문구,0.04,90,17
동작구,0.037,105,17
동작대로,0.033,92,15
마포구,0.044,82,13
마포아트센터,0.042,115,16
북한산,0.038,102,20
서대문구,0.036,98,16
서울숲,0.037,15,14
서초구,0.036,113,15
성동구,0.027,86,13
성북구,0.036,107,15
세곡,0.037,112,18
송파구,0.036,93,14
시흥대로,0.035,98,16
신촌로,0.029,84,17
양천구,0.033,104,16
영등포구,0.032,90,15
영등포로,0.03,80,16
올림픽공원,0.048,103,18
용산구,0.032,102,16
은평구,0.036,112,18
자연사박물관,0.047,95,15
정릉로,0.031,80,17
종로,0.035,93,16
종로구,0.038,94,18
중구,0.04,78,16
중랑구,0.037,83,15
천호대로,0.03,92,15
청계천로,0.038,81,16
한강대로,0.026,95,16
항동,0.039,80,18
행주,0.04,92,13
홍릉로,0.035,82,15
화랑로,0.033,81,15
강남구,0.032,68,30
강남대로,0.029,101,43
강동구,0.029,79,32
강변북로,0.028,89,39
강북구,0.035,83,39
강서구,0.034,81,34
공항대로,0.031,75,34
관악구,0.037,76,34
관악산,0.066,87,37
광진구,0.033,73,32
구로구,0.028,82,39
금천구,0.041,77,38
남산,0.051,86,38
노원구,0.032,81,39
도봉구,0.031,78,38
도산대로,0.03,100,41
동대문구,0.035,78,36
동작구,0.039,80,38
동작대로,0.033,81,34
마포구,0.038,67,30
마포아트센터,0.039,88,36
북한산,0.042,79,42
서대문구,0.034,80,39
서울숲,0.032,36,32
서초구,0.034,82,38
성동구,0.024,74,27
성북구,0.029,88,36
세곡,0.036,96,41
송파구,0.034,82,31
시흥대로,0.03,85,36
신촌로,0.025,72,35
양천구,0.032,80,36
영등포구,0.032,76,35
영등포로,0.026,73,35
올림픽공원,0.044,85,40
용산구,0.029,74,32
은평구,0.04,88,44
자연사박물관,0.045,84,39
정릉로,0.02,74,38
종로,0.027,79,34
종로구,0.028,73,36
중구,0.028,61,35
중랑구,0.03,73,32
천호대로,0.027,84,34
청계천로,0.029,75,39
한강대로,0.021,90,32
항동,0.037,77,45
행주,0.031,80,30
홍릉로,0.027,80,34
화랑로,0.029,68,32
강남구,0.03,45,22
강남대로,0.02,67,31
강동구,0.024,54,25
강변북로,0.017,63,31
강북구,0.033,54,28
강서구,0.023,51,23
공항대로,0.018,55,25
관악구,0.02,50,24
관악산,0.047,43,22
광진구,0.029,48,25
구로구,0.021,52,28
금천구,0.027,45,25
남산,0.035,48,26
노원구,0.029,54,29
도봉구,0.033,48,28
도산대로,0.026,58,31
동대문구,0.031,50,25
동작구,0.031,50,25
동작대로,0.024,53,23
마포구,0.029,43,22
마포아트센터,0.032,54,25
북한산,0.036,43,26
서대문구,0.027,48,27
서울숲,0.025,28,24
서초구,0.03,50,25
성동구,0.019,49,19
성북구,0.027,55,24
세곡,0.023,58,33
송파구,0.027,47,21
시흥대로,0.021,50,23
신촌로,0.017,55,27
양천구,0.021,52,26
영등포구,0.024,46,25
영등포로,0.018,47,25
올림픽공원,0.036,48,31
용산구,0.026,46,23
은평구,0.027,49,27
자연사박물관,0.036,48,26
정릉로,0.02,51,27
종로,0.026,50,23
종로구,0.029,46,26
중구,0.031,40,24
중랑구,0.028,49,25
천호대로,0.022,55,26
청계천로,0.026,49,28
한강대로,0.018,56,22
항동,0.024,47,29
행주,0.027,45,19
홍릉로,0.023,51,26
화랑로,0.022,45,24
강남구,0.027,25,13
강남대로,0.019,39,16
강동구,0.022,30,13
강변북로,0.019,35,18
강북구,0.028,30,14
강서구,0.029,29,12
공항대로,0.02,33,16
관악구,0.022,27,13
관악산,0.043,24,13
광진구,0.027,27,14
구로구,0.02,32,13
금천구,0.026,26,14
남산,0.033,25,12
노원구,0.024,30,16
도봉구,0.027,26,14
도산대로,0.025,33,16
동대문구,0.028,27,14
동작구,0.027,28,15
동작대로,0.023,32,16
마포구,0.034,26,12
마포아트센터,0.033,28,13
북한산,0.032,23,14
서대문구,0.027,28,16
서울숲,0.025,15,10
서초구,0.027,29,13
성동구,0.018,27,11
성북구,0.026,32,14
세곡,0.027,31,17
송파구,0.026,28,13
시흥대로,0.022,30,13
신촌로,0.018,30,15
양천구,0.025,29,15
영등포구,0.023,27,14
영등포로,0.019,27,15
올림픽공원,0.035,26,14
용산구,0.025,27,14
은평구,0.028,28,16
자연사박물관,0.036,27,12
정릉로,0.018,30,17
종로,0.024,31,13
종로구,0.029,27,15
중구,0.03,22,14
중랑구,0.025,28,14
천호대로,0.021,33,14
청계천로,0.025,30,17
한강대로,0.018,35,14
항동,0.025,28,18
행주,0.024,26,12
홍릉로,0.023,31,16
화랑로,0.019,27,15
강남구,0.028,36,21
강남대로,0.019,46,28
강동구,0.017,46,27
강변북로,0.015,45,28
강북구,0.034,43,26
강서구,0.029,38,20
공항대로,0.022,37,21
관악구,0.024,36,21
관악산,0.045,30,20
광진구,0.022,39,25
구로구,0.026,41,23
금천구,0.029,36,22
남산,0.036,34,22
노원구,0.027,42,28
도봉구,0.028,37,27
도산대로,0.027,46,27
동대문구,0.033,39,22
동작구,0.032,38,24
동작대로,0.024,38,20
마포구,0.034,34,20
마포아트센터,0.036,40,24
북한산,0.035,32,25
서대문구,0.027,38,26
서울숲,0.023,25,22
서초구,0.031,34,23
성동구,0.019,38,19
성북구,0.027,42,24
세곡,0.017,46,30
송파구,0.023,37,21
시흥대로,0.024,37,21
신촌로,0.023,39,25
양천구,0.028,40,24
영등포구,0.029,35,22
영등포로,0.024,35,23
올림픽공원,0.028,37,28
용산구,0.026,35,22
은평구,0.029,39,30
자연사박물관,0.042,38,24
정릉로,0.021,43,26
종로,0.029,39,23
종로구,0.034,38,24
중구,0.036,31,22
중랑구,0.029,36,22
천호대로,0.017,43,25
청계천로,0.03,39,26
한강대로,0.022,44,21
항동,0.024,39,26
행주,0.022,43,23
홍릉로,0.023,39,25
화랑로,0.015,40,27
강남구,0.022,37,15
강남대로,0.018,55,20
강동구,0.018,42,16
강변북로,0.012,47,21
강북구,0.022,46,18
강서구,0.023,41,14
공항대로,0.02,43,17
관악구,0.02,39,14
관악산,0.043,34,12
광진구,0.022,38,16
구로구,0.021,42,16
금천구,0.027,35,14
남산,0.031,39,15
노원구,0.019,46,17
도봉구,0.022,43,20
도산대로,0.019,52,22
동대문구,0.024,43,16
동작구,0.027,39,16
동작대로,0.02,44,16
마포구,0.029,37,14
마포아트센터,0.03,50,23
북한산,0.025,39,19
서대문구,0.022,42,19
서울숲,0.021,20,14
서초구,0.024,39,15
성동구,0.015,39,13
성북구,0.019,48,18
세곡,0.018,45,20
송파구,0.02,38,14
시흥대로,0.017,46,15
신촌로,0.019,39,16
양천구,0.022,42,18
영등포구,0.022,39,17
영등포로,0.019,39,18
올림픽공원,0.028,39,19
용산구,0.021,42,17
은평구,0.022,47,22
자연사박물관,0.034,41,18
정릉로,0.014,42,19
종로,0.018,48,17
종로구,0.023,41,19
중구,0.025,35,17
중랑구,0.025,39,15
천호대로,0.014,46,16
청계천로,0.019,46,20
한강대로,0.016,49,17
항동,0.021,35,20
행주,0.02,41,16
홍릉로,0.016,45,19
화랑로,0.016,38,17
강남구,0.035,43,21
강남대로,0.029,56,23
강동구,0.031,50,23
강변북로,0.028,51,26
강북구,0.038,50,24
강서구,0.034,47,19
공항대로,0.029,43,22
관악구,0.025,48,23
관악산,0.046,47,19
광진구,0.037,44,23
구로구,0.027,50,23
금천구,0.034,43,23
남산,0.038,46,21
노원구,0.033,51,29
도봉구,0.036,45,23
도산대로,0.034,54,25
동대문구,0.037,45,22
동작구,0.036,49,25
동작대로,0.032,48,24
마포구,0.037,42,20
마포아트센터,0.039,,
북한산,0.037,41,22
서대문구,0.03,47,25
서울숲,0.032,26,19
서초구,0.036,47,21
성동구,0.024,46,19
성북구,0.033,52,23
세곡,0.033,55,25
송파구,0.036,46,23
시흥대로,0.031,46,20
신촌로,0.026,45,22
양천구,0.03,47,23
영등포구,0.032,43,22
영등포로,0.027,41,22
올림픽공원,0.046,45,25
용산구,0.029,48,25
은평구,0.031,46,27
자연사박물관,0.043,46,23
정릉로,0.029,46,27
종로,0.03,48,23
종로구,0.035,46,27
중구,0.035,39,25
중랑구,0.034,45,23
천호대로,0.031,49,23
청계천로,0.034,45,26
한강대로,0.023,56,23
항동,0.034,39,24
행주,0.034,41,19
홍릉로,0.03,43,23
화랑로,0.029,43,25
강남구,0.047,66,43
강남대로,0.041,77,56
강동구,0.039,78,50
강변북로,0.039,72,52
강북구,0.05,77,52
강서구,0.044,68,41
공항대로,0.045,60,38
관악구,0.033,68,41
관악산,0.057,50,30
광진구,0.047,63,45
구로구,0.038,69,49
금천구,0.051,66,45
남산,0.055,66,46
노원구,0.045,78,55
도봉구,0.046,69,51
도산대로,0.041,77,54
동대문구,0.05,70,44
동작구,0.052,70,48
동작대로,0.044,65,37
마포구,0.052,56,41
마포아트센터,0.056,,
북한산,0.052,64,48
서대문구,0.047,69,50
서울숲,0.046,52,47
서초구,0.049,69,50
성동구,0.032,69,35
성북구,0.043,74,43
세곡,0.05,80,57
송파구,0.045,63,37
시흥대로,0.042,67,36
신촌로,0.038,68,48
양천구,0.042,74,46
영등포구,0.042,64,45
영등포로,0.037,64,46
올림픽공원,0.058,71,55
용산구,0.044,56,39
은평구,0.048,71,53
자연사박물관,0.06,70,53
정릉로,0.034,71,47
종로,0.043,69,45
종로구,0.05,66,47
중구,0.05,57,45
중랑구,0.046,68,46
천호대로,0.036,77,52
청계천로,0.047,67,48
한강대로,0.032,79,40
항동,0.049,68,49
행주,0.042,69,39
홍릉로,0.037,69,48
화랑로,0.042,57,41
강남구,0.026,67,46
강남대로,0.016,78,57
강동구,0.02,75,52
강변북로,0.015,69,55
강북구,0.025,83,61
강서구,0.026,67,44
공항대로,0.021,61,42
관악구,0.02,62,42
관악산,0.054,70,51
광진구,0.023,64,50
구로구,0.021,67,47
금천구,0.026,67,49
남산,0.037,67,49
노원구,0.021,80,61
도봉구,0.02,73,57
도산대로,0.023,78,54
동대문구,0.025,70,49
동작구,0.029,72,52
동작대로,0.023,69,43
마포구,0.029,56,45
마포아트센터,0.03,,
북한산,0.033,69,54
서대문구,0.023,71,54
서울숲,0.023,56,49
서초구,0.026,66,49
성동구,0.017,69,37
성북구,0.021,78,46
세곡,0.025,80,58
송파구,0.024,61,40
시흥대로,0.023,68,37
신촌로,0.014,69,53
양천구,0.024,73,50
영등포구,0.021,62,48
영등포로,0.016,63,49
올림픽공원,0.031,69,56
용산구,0.023,57,42
은평구,0.024,78,57
자연사박물관,0.029,71,57
정릉로,0.012,75,57
종로,0.018,73,50
종로구,0.022,69,53
중구,0.023,62,54
중랑구,0.022,72,50
천호대로,0.017,75,54
청계천로,0.019,70,53
한강대로,0.013,83,43
항동,0.025,66,51
행주,0.022,65,43
홍릉로,0.011,69,52
화랑로,0.017,60,46
강남구,0.028,27,15
강남대로,0.019,36,17
강동구,0.021,32,16
강변북로,0.019,34,18
강북구,0.031,33,18
강서구,0.027,30,14
공항대로,0.017,34,18
관악구,0.02,27,14
관악산,0.042,25,15
광진구,0.027,28,16
구로구,0.023,28,12
금천구,0.027,26,16
남산,0.036,25,15
노원구,0.025,33,20
도봉구,0.028,25,16
도산대로,0.025,31,18
동대문구,0.03,29,15
동작구,0.029,30,17
동작대로,0.022,34,19
마포구,0.031,26,14
마포아트센터,0.037,,
북한산,0.04,23,15
서대문구,0.028,28,17
서울숲,0.026,18,11
서초구,0.025,29,12
성동구,0.019,30,13
성북구,0.024,32,16
세곡,0.023,33,19
송파구,0.025,30,15
시흥대로,0.023,28,14
신촌로,0.019,32,17
양천구,0.023,31,18
영등포구,0.023,27,16
영등포로,0.02,27,16
올림픽공원,0.033,30,17
용산구,0.024,28,16
은평구,0.028,27,17
자연사박물관,0.04,29,17
정릉로,0.018,32,19
종로,0.028,32,15
종로구,0.03,28,18
중구,0.032,24,17
중랑구,0.025,31,16
천호대로,0.018,37,13
청계천로,0.028,29,19
한강대로,0.02,34,15
항동,0.021,31,19
행주,0.028,27,13
홍릉로,0.02,30,17
화랑로,0.018,27,17
강남구,0.03,24,11
강남대로,0.023,34,12
강동구,0.027,27,11
강변북로,0.023,30,13
강북구,0.034,29,14
강서구,0.03,31,11
공항대로,0.023,31,14
관악구,0.024,24,11
관악산,0.037,26,12
광진구,0.035,24,11
구로구,0.03,26,8
금천구,0.033,25,12
남산,0.036,22,9
노원구,0.034,29,15
도봉구,0.033,23,11
도산대로,0.028,28,12
동대문구,0.035,25,11
동작구,0.032,29,14
동작대로,0.023,28,13
마포구,0.038,23,10
마포아트센터,0.032,27,11
북한산,0.035,22,12
서대문구,0.03,26,12
서울숲,0.032,13,5
서초구,0.03,22,7
성동구,0.023,26,10
성북구,0.032,27,10
세곡,0.028,31,13
송파구,0.029,27,11
시흥대로,0.028,25,11
신촌로,0.022,29,12
양천구,0.026,30,16
영등포구,0.027,26,13
영등포로,0.026,24,13
올림픽공원,0.042,22,12
용산구,0.029,28,13
은평구,0.032,26,13
자연사박물관,0.032,25,11
정릉로,0.024,27,15
종로,0.031,28,11
종로구,0.032,26,15
중구,0.037,22,13
중랑구,0.031,25,11
천호대로,0.025,28,8
청계천로,0.032,25,15
한강대로,0.023,31,12
항동,0.034,24,13
행주,0.037,24,9
홍릉로,0.028,26,12
화랑로,0.026,24,13
강남구,0.033,27,13
강남대로,0.025,36,15
강동구,0.031,31,14
강변북로,0.027,32,16
강북구,0.038,34,16
강서구,0.032,35,14
공항대로,0.025,35,16
관악구,0.025,28,13
관악산,0.038,30,13
광진구,0.037,28,14
구로구,0.031,29,10
금천구,0.034,28,15
남산,0.039,25,11
노원구,0.035,33,17
도봉구,0.036,26,13
도산대로,0.03,34,15
동대문구,0.037,29,15
동작구,0.034,33,16
동작대로,0.029,30,15
마포구,0.04,27,12
마포아트센터,0.04,31,12
북한산,0.038,25,14
서대문구,0.032,27,14
서울숲,0.035,14,9
서초구,0.031,26,10
성동구,0.025,30,12
성북구,0.033,30,12
세곡,0.034,33,14
송파구,0.032,31,14
시흥대로,0.03,28,13
신촌로,0.025,32,15
양천구,0.028,34,18
영등포구,0.027,29,15
영등포로,0.026,28,15
올림픽공원,0.045,26,13
용산구,0.031,32,16
은평구,0.032,29,17
자연사박물관,0.042,29,12
정릉로,0.027,29,16
종로,0.031,32,14
종로구,0.034,30,17
중구,0.038,26,16
중랑구,0.033,29,14
천호대로,0.024,35,14
청계천로,0.034,29,17
한강대로,0.024,37,14
항동,0.035,27,15
행주,0.038,29,12
홍릉로,0.029,30,15
화랑로,0.028,28,15
강남구,0.026,25,12
강남대로,0.019,34,15
강동구,0.024,29,14
강변북로,0.021,29,16
강북구,0.028,30,15
강서구,0.027,28,13
공항대로,0.022,28,15
관악구,0.021,25,13
관악산,0.041,25,12
광진구,0.028,25,14
구로구,0.026,26,11
금천구,0.028,25,13
남산,0.033,23,11
노원구,0.023,29,16
도봉구,0.028,24,14
도산대로,0.025,31,15
동대문구,0.028,27,13
동작구,0.027,29,17
동작대로,0.022,28,16
마포구,0.033,24,12
마포아트센터,0.034,28,12
북한산,0.033,23,14
서대문구,0.025,28,15
서울숲,0.027,14,9
서초구,0.026,26,11
성동구,0.02,26,11
성북구,0.025,30,14
세곡,0.024,31,15
송파구,0.025,28,13
시흥대로,0.022,27,13
신촌로,0.022,27,14
양천구,0.024,30,17
영등포구,0.023,26,14
영등포로,0.021,26,14
올림픽공원,0.035,25,15
용산구,0.024,28,15
은평구,0.026,30,15
자연사박물관,0.033,26,15
정릉로,0.017,28,18
종로,0.022,34,13
종로구,0.026,27,17
중구,0.027,23,16
중랑구,0.026,26,13
천호대로,0.021,32,14
청계천로,0.025,29,17
한강대로,0.02,32,14
항동,0.026,26,15
행주,0.027,26,12
홍릉로,0.021,29,16
화랑로,0.019,26,15
강남구,0.035,27,13
강남대로,0.031,37,14
강동구,0.032,33,15
강변북로,0.031,32,15
강북구,0.037,35,17
강서구,0.034,31,13
공항대로,0.033,30,15
관악구,0.029,27,14
관악산,0.039,28,12
광진구,0.039,28,14
구로구,0.034,27,10
금천구,0.037,28,14
남산,0.039,26,11
노원구,0.036,33,18
도봉구,0.036,27,14
도산대로,0.035,32,15
동대문구,0.038,29,13
동작구,0.036,32,17
동작대로,0.032,31,15
마포구,0.045,27,12
마포아트센터,0.043,30,11
북한산,0.04,28,14
서대문구,0.035,31,13
서울숲,0.037,14,7
서초구,0.034,25,9
성동구,0.028,29,12
성북구,0.034,31,12
세곡,0.039,33,13
송파구,0.034,31,15
시흥대로,0.034,27,13
신촌로,0.03,33,15
양천구,0.031,32,17
영등포구,0.032,28,14
영등포로,0.03,28,14
올림픽공원,0.047,27,13
용산구,0.033,31,17
은평구,0.034,31,15
자연사박물관,0.045,29,12
정릉로,0.03,30,18
종로,0.034,33,14
종로구,0.037,31,17
중구,0.039,26,15
중랑구,0.035,29,14
천호대로,0.03,33,15
청계천로,0.039,29,16
한강대로,0.029,31,13
항동,0.038,25,14
행주,0.04,28,11
홍릉로,0.032,30,16
화랑로,0.033,28,16
강남구,0.022,41,26
강남대로,0.016,53,31
강동구,0.02,44,27
강변북로,0.016,44,30
강북구,0.027,44,27
강서구,0.025,49,29
공항대로,0.018,45,30
관악구,0.021,40,27
관악산,0.032,38,24
광진구,0.027,37,26
구로구,0.024,44,28
금천구,0.023,44,31
남산,0.029,39,25
노원구,0.033,43,30
도봉구,0.027,39,25
도산대로,0.021,47,32
동대문구,0.025,40,25
동작구,0.025,47,32
동작대로,0.02,43,27
마포구,0.028,41,28
마포아트센터,0.03,44,28
북한산,0.038,32,22
서대문구,0.024,44,30
서울숲,0.022,30,23
서초구,0.022,39,27
성동구,0.018,43,22
성북구,0.026,42,23
