측정소명,미세먼지(㎍/㎥),오존(ppm),일산화탄소농도(ppm),초미세먼지(㎍/㎥)
양천구,65,0.015,0.7,40
강남구,56,0.022,0.6,42
서초구,70,0.024,0.4,40
송파구,57,0.02,0.6,38
강동구,70,0.019,0.6,48
중구,75,0.012,0.9,52
종로구,72,0.013,1.1,51
용산구,71,0.01,0.8,43
은평구,64,0.016,0.7,49
서대문구,59,0.013,0.9,53
마포구,53,0.008,1,49
광진구,61,0.008,1,51
성동구,63,0.011,0.9,49
중랑구,70,0.009,0.9,46
동대문구,63,0.012,1,54
성북구,72,0.008,1.1,47
도봉구,63,0.012,0.7,53
강북구,72,0.011,0.8,49
노원구,70,0.008,1.1,53
강서구,67,0.014,0.5,45
구로구,68,0.014,0.7,51
영등포구,61,0.011,1,51
동작구,67,0.016,0.8,51
관악구,56,0.013,0.9,41
금천구,67,0.016,0.8,51
양천구,68,0.011,0.8,49
강남구,61,0.012,0.8,53
서초구,74,0.01,0.7,54
송파구,56,0.013,0.8,45
강동구,92,0.018,0.7,71
중구,58,0.009,0.9,40
종로구,56,0.01,1,39
용산구,56,0.006,0.7,32
은평구,44,0.011,0.6,36
서대문구,45,0.01,1,40
마포구,39,0.008,0.9,38
광진구,45,0.006,1,37
성동구,46,0.011,0.9,35
중랑구,51,0.008,0.9,33
동대문구,46,0.009,1,40
성북구,52,0.008,0.9,36
도봉구,45,0.012,0.7,38
강북구,53,0.01,0.8,36
노원구,53,0.008,1,41
강서구,53,0.01,0.5,34
구로구,53,0.01,0.6,39
영등포구,47,0.007,0.9,39
동작구,49,0.01,0.7,38
관악구,42,0.007,0.8,31
금천구,52,0.009,0.8,40
양천구,54,0.007,0.9,39
강남구,46,0.006,0.8,39
서초구,54,0.008,0.7,39
송파구,43,0.007,0.8,34
강동구,59,0.007,0.7,45
중구,43,0.006,0.8,29
종로구,42,0.006,0.9,29
용산구,43,0.005,0.6,23
은평구,31,0.008,0.8,23
서대문구,33,0.007,1,28
마포구,32,0.005,0.9,27
광진구,35,0.004,0.9,27
성동구,34,0.006,0.8,25
중랑구,36,0.006,0.7,23
동대문구,34,0.007,0.8,29
성북구,38,0.006,0.9,25
도봉구,37,0.009,0.6,28
강북구,41,0.008,0.7,26
노원구,41,0.008,0.9,31
강서구,43,0.006,0.6,27
구로구,43,0.006,0.7,28
영등포구,35,0.004,0.9,27
동작구,40,0.006,0.7,28
관악구,32,0.003,0.9,22
금천구,39,0.006,0.8,27
양천구,44,0.005,1,30
강남구,34,0.006,0.7,29
서초구,39,0.006,0.7,27
송파구,35,0.006,0.8,26
강동구,45,0.006,0.7,33
중구,29,0.02,0.5,17
종로구,27,0.023,0.5,16
용산구,34,0.015,0.4,13
은평구,21,0.023,0.7,12
서대문구,19,0.019,0.7,16
마포구,23,0.016,0.5,14
광진구,23,0.015,0.6,16
성동구,22,0.023,0.5,14
