측정소명,미세먼지(㎍/㎥),오존(ppm),일산화탄소농도(ppm),초미세먼지(㎍/㎥)
성북구,13,0.027,0.2,5
도봉구,8,0.029,0.2,5
강북구,14,0.026,0.3,7
노원구,14,0.028,0.3,8
강서구,13,0.027,0.3,8
구로구,14,0.032,0.2,4
영등포구,13,0.027,0.3,6
동작구,16,0.032,0.3,8
관악구,13,0.028,0.3,5
금천구,15,0.027,0.3,8
양천구,15,0.028,0.3,8
강남구,11,0.027,0.3,7
서초구,12,0.028,0.3,3
송파구,13,0.028,0.3,6
강동구,14,0.022,0.3,8
중구,17,0.027,0.3,8
종로구,17,0.029,0.3,6
용산구,14,0.024,0.3,6
은평구,12,0.03,0.1,4
서대문구,10,0.026,0.2,6
마포구,14,0.022,0.3,6
광진구,13,0.018,0.5,3
성동구,13,0.025,0.3,7
중랑구,14,0.025,0.3,6
동대문구,13,0.025,0.3,7
성북구,16,0.023,0.2,5
도봉구,9,0.025,0.2,5
강북구,17,0.023,0.3,8
노원구,14,0.028,0.3,7
강서구,15,0.025,0.3,8
구로구,12,0.027,0.2,3
영등포구,16,0.02,0.4,7
동작구,19,0.03,0.3,8
관악구,15,0.025,0.3,5
금천구,15,0.024,0.3,8
양천구,16,0.025,0.3,7
강남구,14,0.025,0.3,7
서초구,16,0.024,0.3,3
송파구,14,0.027,0.3,5
강동구,14,0.022,0.3,8
중구,14,0.024,0.3,6
종로구,16,0.027,0.3,6
용산구,11,0.023,0.3,5
은평구,11,0.025,0.1,4
서대문구,7,0.025,0.2,6
마포구,13,0.021,0.3,4
광진구,11,0.019,0.4,3
성동구,11,0.026,0.2,6
중랑구,14,0.024,0.3,7
동대문구,11,0.025,0.3,5
성북구,12,0.023,0.2,4
도봉구,6,0.028,0.2,2
강북구,13,0.023,0.3,5
노원구,10,0.028,0.3,5
강서구,11,0.022,0.3,6
구로구,11,0.026,0.2,2
영등포구,14,0.019,0.4,5
동작구,20,0.033,0.3,11
관악구,12,0.024,0.3,4
금천구,15,0.023,0.3,9
양천구,12,0.022,0.3,5
강남구,12,0.023,0.3,6
서초구,14,0.023,0.3,1
송파구,16,0.027,0.3,5
강동구,13,0.024,0.3,6
중구,12,0,0,4
종로구,14,0.029,0.3,4
용산구,8,0.026,0.3,3
은평구,5,0.036,0.1,1
서대문구,4,0.032,0.2,3
마포구,8,0.027,0.3,2
광진구,8,0.021,0.4,1
성동구,8,0.029,0.2,4
중랑구,9,0.028,0.3,4
동대문구,8,0.026,0.3,3
성북구,12,0.023,0.2,2
도봉구,3,0.03,0.2,1
강북구,10,0.024,0.3,3
노원구,8,0.029,0.3,3
강서구,7,0.027,0.2,3
구로구,9,0.031,0.2,1
영등포구,10,0.025,0.4,3
동작구,11,0.023,0.2,4
관악구,10,0.027,0.3,2
금천구,10,0.026,0.3,6
양천구,9,0.027,0.3,3
강남구,9,0.028,0.3,4
서초구,11,0.027,0.1,1
송파구,9,0.029,0.3,4
강동구,7,0.026,0.3,3
중구,12,0,0,6
종로구,14,0.028,0.3,4
용산구,8,0.024,0.3,3
은평구,6,0.032,0.4,2
서대문구,7,0.03,0.2,3
마포구,7,0.026,0.3,3
광진구,8,0.019,0.4,1
성동구,8,0.027,0.3,4
중랑구,8,0.025,0.3,4
동대문구,9,0.025,0.3,4
성북구,11,0.022,0.3,2
도봉구,4,0.026,0.2,2
강북구,8,0.024,0.3,3
노원구,8,0.028,0.3,5
강서구,6,0.028,0.2,3
구로구,8,0.029,0.3,1
영등포구,9,0.024,0.4,4
동작구,12,0.022,0.3,5
관악구,11,0.025,0.3,3
금천구,11,0.023,0.4,5
양천구,8,0.026,0.3,4
강남구,8,0.025,0.3,5
서초구,9,0.025,0.2,1
송파구,10,0.027,0.3,3
강동구,7,0.024,0.3,4
중구,18,0.018,0.4,11
종로구,19,0.022,0.4,10
용산구,14,0.022,0.3,8
은평구,11,0.029,0.7,5
서대문구,10,0.028,0.2,7
마포구,14,0.023,0.4,8
광진구,12,0.018,0.4,4
성동구,13,0.026,0.3,8
중랑구,14,0.022,0.3,8
동대문구,14,0.022,0.4,9
성북구,16,0.018,0.3,6
도봉구,9,0.023,0.2,6
강북구,17,0.017,0.3,9
노원구,16,0.023,0.4,9
강서구,13,0.023,0.2,8
구로구,12,0.026,0.3,5
영등포구,15,0.021,0.4,9
동작구,19,0.017,0.3,10
관악구,15,0.021,0.4,7
금천구,18,0.019,0.4,11
양천구,15,0.023,0.4,8
강남구,13,0.022,0.3,9
서초구,15,0.023,0.2,2
송파구,16,0.02,0.4,9
강동구,14,0.02,0.3,8
중구,23,0.022,0.4,14
종로구,23,0.02,0.4,14
용산구,22,0.015,0.4,12
은평구,18,0.023,0.6,9
서대문구,17,0.023,0.3,11
마포구,25,0.016,0.4,13
광진구,21,0.011,0.5,9
성동구,22,0.017,0.4,13
중랑구,19,0.022,0.4,11
동대문구,20,0.019,0.4,13
성북구,21,0.017,0.3,10
도봉구,14,0.021,0.2,9
강북구,23,0.022,0.3,12
노원구,22,0.019,0.4,13
강서구,26,0.021,0.2,15
구로구,24,0.023,0.4,9
영등포구,24,0.018,0.5,14
동작구,29,0.013,0.4,13
관악구,26,0.018,0.5,13
금천구,25,0.015,0.5,18
양천구,26,0.02,0.4,15
강남구,22,0.015,0.4,14
서초구,24,0.015,0.3,8
송파구,25,0.017,0.4,12
강동구,23,0.014,0.4,13
중구,18,0.036,0.3,12
종로구,18,0.034,0.3,10
용산구,20,0.026,0.3,11
은평구,18,0.033,0.5,7
서대문구,14,0.029,0.3,10
마포구,19,0.026,0.4,10
광진구,16,0.022,0.4,7
성동구,16,0.032,0.3,11
중랑구,16,0.031,0.3,10
동대문구,15,0.035,0.3,10
성북구,15,0.03,0.2,7
도봉구,10,0.037,0.2,6
강북구,17,0.03,0.3,9
노원구,16,0.03,0.4,10
강서구,16,0.032,0.2,10
구로구,20,0.035,0.3,6
영등포구,17,0.031,0.4,10
동작구,21,0.028,0.3,10
관악구,18,0.032,0.4,9
금천구,18,0.028,0.3,11
양천구,19,0.033,0.4,11
강남구,17,0.034,0.4,11
서초구,19,0.031,0.2,3
송파구,18,0.03,0.4,10
강동구,19,0.022,0.4,11
중구,19,0.039,0.4,10
종로구,21,0.034,0.4,9
용산구,20,0.025,0.4,10
은평구,19,0.033,0.4,7
서대문구,19,0.03,0.3,9
마포구,19,0.029,0.4,9
광진구,19,0.022,0.5,7
성동구,19,0.029,0.4,10
중랑구,19,0.031,0.4,10
동대문구,17,0.035,0.4,9
성북구,20,0.031,0.3,7
도봉구,10,0.033,0.2,5
강북구,18,0.029,0.4,10
노원구,18,0.032,0.4,9
강서구,18,0.04,0.2,9
구로구,19,0.04,0.3,6
영등포구,18,0.033,0.5,8
동작구,21,0.03,0.3,9
관악구,19,0.035,0.4,8
금천구,18,0.03,0.4,10
양천구,21,0.037,0.4,10
강남구,17,0.035,0.4,10
서초구,19,0.035,0.2,3
송파구,20,0.029,0.4,10
강동구,21,0.027,0.4,11
중구,19,0.035,0.4,9
종로구,22,0.037,0.4,8
용산구,25,0.027,0.4,9
은평구,25,0.042,0.4,7
서대문구,20,0.039,0.3,8
마포구,20,0.032,0.4,7
광진구,20,0.026,0.4,5
성동구,20,0.033,0.3,8
중랑구,19,0.036,0.4,9
동대문구,18,0.04,0.4,7
성북구,22,0.037,0.3,5
도봉구,15,0.044,0.2,4
강북구,23,0.038,0.3,8
노원구,22,0.042,0.4,8
강서구,19,0.04,0.2,8
구로구,24,0.035,0.2,5
영등포구,21,0.035,0.4,7
동작구,24,0.032,0.3,8
관악구,23,0.035,0.4,7
금천구,20,0.031,0.4,8
양천구,24,0.036,0.4,8
강남구,20,0.037,0.4,9
서초구,24,0.035,0.2,3
송파구,22,0.031,0.4,8
강동구,22,0.029,0.4,10
중구,18,0.029,0.4,9
종로구,22,0.028,0.4,10
용산구,24,0.019,0.4,9
은평구,29,0.025,0.4,10
서대문구,19,0.026,0.3,12
마포구,20,0.022,0.4,9
광진구,20,0.018,0.5,7
성동구,21,0.021,0.4,10
중랑구,20,0.025,0.4,10
동대문구,19,0.03,0.4,9
성북구,24,0.023,0.4,9
도봉구,15,0.025,0.3,8
강북구,24,0.024,0.4,9
노원구,20,0.026,0.4,8
강서구,21,0.026,0.2,10
구로구,24,0.021,0.1,9
영등포구,19,0.023,0.4,9
동작구,26,0.02,0.3,9
관악구,23,0.024,0.4,7
금천구,22,0.018,0.4,10
양천구,25,0.025,0.4,10
강남구,19,0.024,0.4,10
서초구,26,0.022,0.3,6
송파구,22,0.018,0.4,9
강동구,21,0.018,0.4,10
중구,25,0.027,0.5,19
종로구,26,0.03,0.5,17
용산구,24,0.023,0.4,17
은평구,25,0.027,0.5,16
서대문구,19,0.026,0.4,15
마포구,22,0.027,0.5,15
광진구,25,0.014,0.5,17
성동구,22,0.023,0.4,17
중랑구,27,0.023,0.5,18
동대문구,24,0.03,0.5,17
성북구,27,0.019,0.5,18
도봉구,20,0.021,0.4,18
강북구,32,0.02,0.5,20
노원구,27,0.024,0.5,20
강서구,26,0.033,0.2,19
구로구,22,0.028,0.1,17
영등포구,23,0.029,0.5,16
동작구,26,0.025,0.4,16
관악구,24,0.032,0.4,14
금천구,28,0.025,0.4,20
양천구,28,0.03,0.4,19
강남구,23,0.026,0.5,18
서초구,27,0.031,0.3,14
송파구,24,0.025,0.4,17
강동구,28,0.02,0.4,20
중구,32,0.035,0.6,24
종로구,35,0.04,0.5,23
용산구,33,0.029,0.5,22
은평구,35,0.042,0.5,23
서대문구,33,0.036,0.5,20
마포구,31,0.033,0.6,23
광진구,32,0.017,0.5,21
성동구,31,0.034,0.5,23
중랑구,33,0.035,0.5,21
동대문구,32,0.041,0.5,22
성북구,33,0.034,0.5,22
도봉구,25,0.04,0.4,20
강북구,37,0.035,0.5,25
노원구,31,0.038,0.5,22
강서구,35,0.04,0.3,24
구로구,35,0.032,0.2,23
영등포구,33,0.034,0.6,23
동작구,35,0.031,0.4,20
관악구,32,0.034,0.5,19
금천구,34,0.028,0.5,22
양천구,39,0.036,0.6,25
강남구,33,0.031,0.5,24
서초구,39,0.034,0.3,20
송파구,32,0.033,0.5,23
강동구,34,0.028,0.5,23
중구,19,0.032,0.4,13
종로구,21,0.032,0.5,14
용산구,23,0.023,0.4,14
은평구,22,0.032,0.4,12
서대문구,17,0.027,0.4,9
마포구,20,0.026,0.4,12
광진구,21,0.008,0.4,12
성동구,21,0.025,0.4,14
중랑구,21,0.029,0.4,13
동대문구,20,0.03,0.4,13
성북구,22,0.026,0.4,11
도봉구,13,0.032,0.3,10
강북구,28,0.029,0.4,14
노원구,22,0.032,0.4,13
강서구,21,0.033,0.2,13
구로구,17,0.021,0.3,9
영등포구,21,0.027,0.5,12
동작구,25,0.026,0.4,13
관악구,22,0.027,0.5,12
금천구,22,0.024,0.4,14
양천구,22,0.032,0.4,13
강남구,20,0.026,0.5,14
서초구,20,0.023,0.3,8
송파구,20,0.023,0.5,13
강동구,24,0.022,0.4,15
중구,8,0.028,0.3,4
종로구,9,0.027,0.3,4
용산구,8,0.021,0.3,4
은평구,6,0.025,0.3,2
서대문구,5,0.021,0.3,2
마포구,7,0.022,0.3,2
광진구,6,0.007,0.3,2
성동구,7,0.027,0.3,4
중랑구,7,0.024,0.3,3
동대문구,8,0.025,0.3,4
성북구,8,0.023,0.3,2
도봉구,4,0.025,0.2,2
강북구,11,0.021,0.3,4
노원구,6,0.027,0.3,4
강서구,7,0.026,0.2,3
구로구,4,0.021,0.3,1
영등포구,8,0.024,0.4,3
동작구,10,0.023,0.2,4
관악구,7,0.026,0.3,2
금천구,10,0.022,0.3,5
양천구,11,0.025,0.3,3
강남구,6,0.027,0.3,4
서초구,5,0.024,0.2,3
송파구,7,0.029,0.3,3
강동구,8,0.023,0.3,4
중구,10,0.028,0.3,7
종로구,12,0.031,0.3,7
용산구,9,0.025,0.3,7
은평구,8,0.027,0.4,5
서대문구,5,0.023,0.3,4
마포구,12,0.021,0.4,8
광진구,8,0.007,0.3,4
성동구,11,0.029,0.3,7
중랑구,10,0.026,0.3,6
동대문구,11,0.026,0.4,7
성북구,10,0.023,0.4,4
도봉구,5,0.024,0.2,4
강북구,12,0.022,0.3,6
노원구,11,0.027,0.3,7
강서구,11,0.026,0.2,8
구로구,7,0.02,0.3,3
영등포구,12,0.022,0.4,8
동작구,14,0.024,0.3,7
관악구,11,0.027,0.4,5
금천구,13,0.026,0.4,9
양천구,12,0.025,0.4,7
강남구,10,0.025,0.4,7
서초구,8,0.025,0.2,5
송파구,9,0.03,0.4,6
강동구,10,0.026,0.3,7
중구,25,0.025,0.5,19
종로구,28,0.028,0.5,18
용산구,26,0.023,0.4,17
은평구,21,0.034,0.4,13
서대문구,16,0.035,0.3,12
마포구,24,0.028,0.5,17
광진구,25,0.016,0.3,15
성동구,24,0.028,0.4,17
중랑구,25,0.027,0.4,16
동대문구,26,0.024,0.5,17
성북구,25,0.022,0.4,16
도봉구,18,0.027,0.3,14
강북구,29,0.025,0.4,17
노원구,25,0.026,0.4,17
강서구,26,0.026,0.3,18
구로구,23,0.021,0.4,13
영등포구,28,0.022,0.6,19
동작구,33,0.019,0.4,18
관악구,28,0.023,0.5,16
금천구,30,0.022,0.5,21
양천구,29,0.025,0.5,19
강남구,27,0.024,0.4,19
서초구,27,0.022,0.3,14
송파구,26,0.026,0.5,17
강동구,26,0.023,0.4,18
중구,26,0.038,0.5,19
종로구,26,0.041,0.5,17
용산구,26,0.032,0.4,17
은평구,26,0.041,0.5,18
서대문구,21,0.038,0.4,15
마포구,24,0.036,0.5,17
광진구,25,0.029,0.4,15
성동구,24,0.036,0.4,18
중랑구,25,0.037,0.5,16
동대문구,25,0.041,0.4,17
성북구,26,0.032,0.5,17
도봉구,18,0.035,0.3,15
강북구,30,0.031,0.4,18
노원구,24,0.04,0.5,16
강서구,26,0.045,0.2,19
구로구,25,0.037,0.4,14
영등포구,27,0.038,0.5,19
동작구,31,0.035,0.4,17
관악구,27,0.042,0.5,16
금천구,30,0.039,0.5,21
양천구,30,0.041,0.5,20
강남구,24,0.04,0.5,19
서초구,29,0.035,0.3,15
송파구,26,0.039,0.5,19
강동구,27,0.032,0.4,19
중구,27,0.035,0.5,21
종로구,30,0.04,0.5,20
용산구,29,0.03,0.4,19
은평구,24,0.035,0.4,16
서대문구,20,0.033,0.4,14
마포구,26,0.035,0.5,18
광진구,27,0.028,0.4,18
성동구,27,0.038,0.4,21
중랑구,28,0.038,0.4,19
동대문구,28,0.04,0.5,20
성북구,25,0.032,0.4,16
도봉구,18,0.036,0.3,13
강북구,29,0.031,0.4,19
노원구,26,0.041,0.4,18
강서구,26,0.039,0.3,18
구로구,24,0.034,0.4,13
영등포구,28,0.036,0.5,20
동작구,33,0.032,0.4,20
관악구,28,0.041,0.4,17
금천구,35,0.034,0.4,24
양천구,31,0.038,0.4,20
강남구,26,0.04,0.5,21
서초구,30,0.036,0.3,15
송파구,27,0.038,0.4,20
강동구,28,0.033,0.4,22
중구,23,0.042,0.4,12
종로구,24,0.045,0.4,12
용산구,24,0.037,0.3,12
은평구,20,0.045,0.3,10
서대문구,16,0.041,0.3,9
마포구,21,0.039,0.3,10
광진구,21,0.035,0.3,10
성동구,23,0.04,0.3,13
중랑구,22,0.04,0.3,11
동대문구,23,0.046,0.4,11
성북구,22,0.04,0.3,10
도봉구,13,0.044,0.2,7
강북구,23,0.038,0.3,11
노원구,20,0.05,0.3,10
강서구,24,0.046,0.2,11
구로구,20,0.037,0.3,7
영등포구,23,0.041,0.4,12
동작구,27,0.039,0.3,12
관악구,25,0.042,0.4,10
금천구,23,0.04,0.3,12
양천구,27,0.043,0.3,12
강남구,22,0.047,0.3,13
서초구,21,0.042,0.2,9
송파구,22,0.046,0.3,12
강동구,23,0.038,0.3,13
중구,5,0.036,0.3,3
종로구,8,0.038,0.3,4
용산구,5,0.028,0.3,2
은평구,3,0.04,0.3,1
서대문구,3,0.035,0.3,1
마포구,4,0.031,0.3,2
광진구,4,0.027,0.3,1
성동구,6,0.033,0.3,4
중랑구,5,0.032,0.3,3
동대문구,5,0.035,0.3,3
성북구,5,0.033,0.3,1
도봉구,3,0.039,0.2,1
강북구,4,0.034,0.3,2
노원구,4,0.042,0.3,3
강서구,4,0.036,0.2,2
구로구,3,0.028,0.3,1
영등포구,6,0.031,0.4,2
동작구,7,0.029,0.3,3
관악구,6,0.03,0.3,3
금천구,5,0.032,0.3,3
양천구,7,0.034,0.3,3
강남구,5,0.036,0.3,3
서초구,3,0.032,0.2,2
송파구,5,0.037,0.3,3
강동구,5,0.03,0.3,3
중구,27,0.028,0.4,18
종로구,26,0.031,0.4,16
용산구,23,0.023,0.4,15
은평구,18,0.031,0.4,11
서대문구,13,0.027,0.4,10
마포구,21,0.025,0.4,15
광진구,21,0.021,0.3,14
성동구,22,0.028,0.3,16
중랑구,23,0.027,0.4,16
동대문구,23,0.027,0.4,17
성북구,21,0.024,0.4,14
도봉구,16,0.026,0.2,14
강북구,28,0.022,0.4,18
노원구,23,0.03,0.4,17
강서구,25,0.028,0.3,17
구로구,18,0.024,0.4,10
영등포구,24,0.028,0.5,17
동작구,26,0.025,0.3,15
관악구,22,0.027,0.4,14
금천구,23,0.027,0.4,17
양천구,26,0.028,0.4,17
강남구,21,0.028,0.4,17
서초구,21,0.027,0.2,11
송파구,22,0.028,0.4,15
강동구,24,0.022,0.4,16
중구,29,0.037,0.5,21
종로구,30,0.04,0.5,20
용산구,32,0.031,0.4,20
은평구,30,0.048,0.4,18
서대문구,23,0.044,0.4,13
마포구,29,0.035,0.5,19
광진구,28,0.031,0.3,17
성동구,28,0.038,0.4,21
중랑구,30,0.035,0.4,19
동대문구,29,0.037,0.5,19
성북구,29,0.03,0.5,17
도봉구,22,0.032,0.3,16
강북구,34,0.033,0.4,20
노원구,30,0.039,0.4,19
강서구,32,0.038,0.3,20
구로구,32,0.03,0.4,13
영등포구,32,0.034,0.6,21
동작구,36,0.028,0.4,20
관악구,33,0.033,0.5,18
금천구,36,0.031,0.5,25
양천구,33,0.035,0.5,21
강남구,31,0.037,0.4,21
서초구,33,0.034,0.3,16
송파구,30,0.036,0.4,21
강동구,30,0.032,0.4,21
중구,24,0.039,0.4,12
종로구,24,0.044,0.4,11
용산구,23,0.034,0.3,11
은평구,20,0.041,0.3,9
서대문구,16,0.036,0.3,7
마포구,20,0.034,0.4,9
광진구,22,0.034,0.3,10
성동구,23,0.04,0.4,13
중랑구,23,0.04,0.4,12
동대문구,22,0.045,0.4,11
성북구,20,0.036,0.3,9
도봉구,14,0.039,0.2,8
강북구,27,0.036,0.3,11
노원구,22,0.042,0.4,12
강서구,19,0.041,0.2,10
구로구,22,0.036,0.3,6
영등포구,21,0.041,0.4,10
동작구,25,0.037,0.3,11
관악구,22,0.042,0.4,9
금천구,19,0.039,0.4,11
양천구,23,0.04,0.4,10
강남구,22,0.046,0.4,14
서초구,22,0.041,0.2,10
송파구,23,0.046,0.4,13
강동구,25,0.036,0.4,15
중구,16,0.04,0.3,7
종로구,15,0.041,0.3,6
용산구,14,0.031,0.3,5
은평구,12,0.041,0.2,6
서대문구,10,0.039,0.3,5
마포구,13,0.034,0.3,5
광진구,12,0.03,0.2,5
성동구,13,0.035,0.3,7
중랑구,12,0.035,0.3,6
동대문구,12,0.04,0.3,6
성북구,13,0.037,0.3,5
도봉구,9,0.039,0.2,5
강북구,14,0.035,0.3,6
노원구,11,0.039,0.4,6
강서구,12,0.041,0.2,5
구로구,12,0.033,0.3,3
영등포구,15,0.037,0.4,5
동작구,15,0.031,0.3,6
관악구,14,0.036,0.3,4
금천구,12,0.035,0.3,6
양천구,16,0.038,0.3,5
강남구,14,0.041,0.3,7
서초구,12,0.036,0.2,5
송파구,12,0.034,0.3,7
강동구,15,0.029,0.3,6
중구,14,0.011,0.4,10
종로구,16,0.012,0.4,9
용산구,13,0.008,0.3,6
은평구,11,0.014,0.3,6
서대문구,7,0.013,0.3,4
마포구,15,0.011,0.4,9
광진구,12,0.007,0.3,5
성동구,13,0.009,0.3,8
중랑구,13,0.009,0.3,8
동대문구,14,0.008,0.4,9
성북구,15,0.009,0.4,7
도봉구,11,0.011,0.2,6
강북구,19,0.01,0.3,10
노원구,9,0.011,0,5
강서구,15,0.013,0.3,11
구로구,13,0.009,0.3,5
영등포구,16,0.01,0.5,10
동작구,19,0.007,0.4,9
관악구,16,0.009,0.4,8
금천구,15,0.01,0.3,10
양천구,16,0.012,0.4,11
강남구,14,0.007,0.4,9
서초구,11,0.009,0.3,6
송파구,13,0.007,0.4,7
강동구,13,0.005,0.3,8
중구,15,0.025,0.4,9
종로구,20,0.026,0.4,8
용산구,17,0.021,0.3,7
은평구,14,0.022,0.3,6
서대문구,10,0.022,0.3,5
마포구,20,0.023,0.4,8
광진구,15,0.02,0.3,5
성동구,20,0.028,0.3,8
중랑구,16,0.023,0.4,7
동대문구,15,0.027,0.4,8
성북구,15,0.023,0.3,5
도봉구,10,0.028,0.2,4
강북구,19,0.024,0.3,8
노원구,8,0.023,0.3,4
강서구,18,0.028,0.2,10
구로구,14,0.022,0.3,4
영등포구,18,0.024,0.4,8
동작구,20,0.022,0.4,8
관악구,17,0.026,0.3,6
금천구,19,0.023,0.3,8
양천구,18,0.024,0.3,9
강남구,16,0.027,0.4,9
서초구,15,0.026,0.2,5
송파구,16,0.025,0.3,8
강동구,15,0.021,0.3,8
중구,9,0.019,0.4,5
종로구,13,0.021,0.3,4
용산구,12,0.019,0.3,2
은평구,6,0.023,0.3,2
서대문구,4,0.025,0.3,2
마포구,10,0.021,0.4,3
광진구,9,0.014,0.3,2
성동구,12,0.02,0.3,5
중랑구,10,0.018,0.3,3
동대문구,9,0.019,0.3,3
성북구,9,0.016,0.3,2
도봉구,5,0.019,0.2,1
강북구,13,0.017,0.3,3
노원구,9,0.023,0.3,3
강서구,9,0.021,0.3,4
구로구,9,0.018,0.3,1
영등포구,11,0.019,0.4,4
동작구,16,0.018,0.3,5
관악구,12,0.021,0.3,3
금천구,12,0.023,0.3,5
양천구,10,0.02,0.3,4
강남구,10,0.017,0.3,4
서초구,8,0.018,0.2,3
송파구,11,0.017,0.3,4
강동구,9,0.011,0.3,4
중구,13,0.028,0.3,11
종로구,14,0.029,0.3,11
용산구,15,0.022,0.3,10
은평구,11,0.029,0.3,8
서대문구,8,0.027,0.3,6
마포구,14,0.024,0.3,10
광진구,16,0.02,0.3,9
성동구,15,0.027,0.3,11
중랑구,17,0.026,0.3,11
동대문구,15,0.027,0.3,12
성북구,11,0.024,0.4,7
도봉구,8,0.024,0.2,5
강북구,16,0.022,0.3,10
노원구,12,0.028,0.3,8
강서구,14,0.03,0.2,12
구로구,13,0.026,0.2,6
영등포구,16,0.027,0.4,10
동작구,22,0.022,0.3,12
관악구,16,0.027,0.3,10
금천구,17,0.022,0.3,12
양천구,17,0.027,0.3,11
강남구,16,0.027,0.3,13
서초구,12,0.028,0.3,8
송파구,17,0.022,0.3,13
강동구,17,0.017,0.3,13
중구,17,0.014,0.4,14
종로구,17,0.016,0.4,11
용산구,17,0.012,0.3,9
은평구,16,0.014,0.3,8
서대문구,10,0.015,0.4,6
마포구,16,0.014,0.4,11
광진구,17,0.01,0.4,9
성동구,16,0.013,0.4,11
중랑구,17,0.015,0.4,10
동대문구,18,0.015,0.4,12
성북구,15,0.014,0.4,8
도봉구,10,0.014,0.3,6
강북구,22,0.012,0.4,11
노원구,14,0.018,0.3,9
강서구,16,0.018,0.3,13
구로구,14,0.016,0.3,7
영등포구,18,0.015,0.4,12
동작구,22,0.013,0.3,12
관악구,18,0.016,0.3,10
금천구,20,0.012,0.3,13
양천구,20,0.015,0.3,14
강남구,17,0.013,0.4,13
서초구,12,0.017,0.3,7
송파구,15,0.012,0.4,10
강동구,17,0.011,0.3,11
중구,23,0.022,0.4,19
종로구,23,0.025,0.4,16
용산구,25,0.016,0.4,16
은평구,21,0.025,0.4,15
서대문구,15,0.025,0.4,11
마포구,22,0.021,0.4,17
광진구,22,0.016,0.4,15
성동구,23,0.02,0.4,18
중랑구,26,0.026,0.4,16
동대문구,23,0.025,0.4,17
성북구,22,0.021,0.4,14
도봉구,14,0.022,0.3,12
강북구,32,0.019,0.4,19
노원구,22,0.023,0.4,16
강서구,20,0.027,0.3,16
구로구,19,0.025,0.3,9
영등포구,24,0.021,0.5,17
동작구,31,0.019,0.3,18
관악구,25,0.026,0.4,15
금천구,25,0.022,0.4,17
양천구,26,0.021,0.3,19
강남구,23,0.022,0.4,18
서초구,18,0.027,0.3,10
송파구,23,0.017,0.4,17
강동구,26,0.016,0.4,18
중구,19,0.027,0.3,13
종로구,21,0.031,0.3,12
용산구,20,0.024,0.3,11
은평구,18,0.03,0.3,11
서대문구,12,0.029,0.3,8
마포구,19,0.026,0.3,12
광진구,20,0.021,0.3,11
성동구,21,0.027,0.3,13
중랑구,21,0.028,0.3,12
동대문구,19,0.03,0.3,12
성북구,18,0.027,0.3,9
도봉구,13,0.027,0.2,8
강북구,26,0.024,0.3,15
노원구,18,0.03,0.3,11
강서구,19,0.031,0.2,13
구로구,17,0.028,0.2,7
영등포구,21,0.029,0.4,12
동작구,26,0.025,0.3,13
관악구,21,0.029,0.3,11
금천구,22,0.026,0.3,14
양천구,22,0.029,0.3,13
강남구,21,0.03,0.3,13
서초구,18,0.03,0.3,9
송파구,20,0.026,0.3,13
강동구,23,0.018,0.3,13
중구,22,0.022,0.3,19
종로구,28,0.026,0.3,18
용산구,26,0.022,0.3,18
은평구,20,0.031,0.2,14
서대문구,13,0.03,0.3,11
마포구,23,0.025,0.3,17
광진구,24,0.018,0.3,17
성동구,27,0.024,0.3,20
중랑구,26,0.024,0.3,17
동대문구,23,0.025,0.2,16
성북구,21,0.02,0.3,14
도봉구,16,0.022,0.2,13
강북구,28,0.02,0.3,19
노원구,22,0.025,0.3,16
강서구,24,0.025,0.3,19
구로구,25,0.022,0.2,10
영등포구,27,0.022,0.4,19
동작구,31,0.02,0.1,19
관악구,27,0.023,0.3,16
금천구,25,0.026,0.3,18
양천구,24,0.022,0.3,19
강남구,26,0.021,0.3,20
서초구,25,0.022,0.3,12
송파구,26,0.018,0.3,19
강동구,26,0.012,0.3,20
중구,30,0.027,0.4,26
종로구,32,0.029,0.4,25
용산구,35,0.022,0.3,25
은평구,34,0.03,0.3,24
서대문구,23,0.027,0.4,17
마포구,33,0.023,0.3,26
광진구,32,0.019,0.4,23
성동구,34,0.023,0.4,26
중랑구,34,0.027,0.3,25
동대문구,33,0.03,0.2,23
성북구,31,0.022,0.4,22
도봉구,22,0.027,0.2,18
강북구,41,0.025,0.3,28
노원구,32,0.03,0.3,25
강서구,35,0.025,0.3,28
구로구,28,0.024,0.2,16
영등포구,34,0.025,0.4,26
동작구,37,0.022,0.1,25
관악구,32,0.027,0.3,22
금천구,34,0.02,0.2,24
양천구,34,0.023,0.2,26
강남구,31,0.025,0.4,26
서초구,30,0.026,0.3,17
송파구,33,0.022,0.4,25
강동구,35,0.019,0.3,25
중구,20,0.026,0.4,18
종로구,25,0.028,0.4,17
용산구,27,0.02,0.4,17
은평구,21,0.026,0.3,14
서대문구,16,0.025,0.4,11
마포구,22,0.019,0.4,15
광진구,24,0.022,0.4,16
성동구,25,0.023,0.4,19
중랑구,26,0.027,0.4,18
동대문구,23,0.028,0.2,14
성북구,25,0.023,0.4,14
도봉구,20,0.027,0.2,10
강북구,28,0.025,0.3,17
노원구,22,0.029,0.4,16
강서구,21,0.028,0.3,17
구로구,18,0.021,0.3,9
영등포구,23,0.025,0.4,16
동작구,24,0.021,0.2,14
관악구,25,0.026,0.4,14
금천구,23,0.022,0.2,16
양천구,23,0.025,0.2,18
강남구,24,0.026,0.4,18
서초구,22,0.023,0.3,11
